seed,citer_corpusid,label,provenance
Attention Is All You Need,235458009,landmark,recalled
Attention Is All You Need,52967399,landmark,recalled
Playing Atari with Deep Reinforcement Learning,16326763,landmark,recalled
Playing Atari with Deep Reinforcement Learning,6208256,landmark,recalled
Playing Atari with Deep Reinforcement Learning,19135734,landmark,recalled
AlexNet,206594692,landmark,recalled
Attention Is All You Need,250607566,not,sampled
Attention Is All You Need,277856775,not,sampled
Attention Is All You Need,272880737,not,sampled
Attention Is All You Need,248056924,not,sampled
Attention Is All You Need,282850161,not,sampled
Attention Is All You Need,259931492,not,sampled
Attention Is All You Need,271064389,not,sampled
Attention Is All You Need,234820932,not,sampled
Attention Is All You Need,252782897,not,sampled
Attention Is All You Need,278193103,not,sampled
Attention Is All You Need,257260254,not,sampled
Attention Is All You Need,239009592,not,sampled
Attention Is All You Need,231929242,not,sampled
Attention Is All You Need,218470275,not,sampled
Attention Is All You Need,271798081,not,sampled
Playing Atari with Deep Reinforcement Learning,279241741,not,sampled
Playing Atari with Deep Reinforcement Learning,266236087,not,sampled
Playing Atari with Deep Reinforcement Learning,249848024,not,sampled
Playing Atari with Deep Reinforcement Learning,259763775,not,sampled
Playing Atari with Deep Reinforcement Learning,252709799,not,sampled
Playing Atari with Deep Reinforcement Learning,258222331,not,sampled
Playing Atari with Deep Reinforcement Learning,270976865,not,sampled
Playing Atari with Deep Reinforcement Learning,254096289,not,sampled
Playing Atari with Deep Reinforcement Learning,69423750,not,sampled
Playing Atari with Deep Reinforcement Learning,260912346,not,sampled
Playing Atari with Deep Reinforcement Learning,286171022,not,sampled
Playing Atari with Deep Reinforcement Learning,234977442,not,sampled
Playing Atari with Deep Reinforcement Learning,267271691,not,sampled
Playing Atari with Deep Reinforcement Learning,255598991,not,sampled
Playing Atari with Deep Reinforcement Learning,281969797,not,sampled
Correlated Q-Learning,12288426,not,sampled
Correlated Q-Learning,114377557,not,sampled
Correlated Q-Learning,15145618,not,sampled
Correlated Q-Learning,213073236,not,sampled
Correlated Q-Learning,33416514,not,sampled
Correlated Q-Learning,7496856,not,sampled
Correlated Q-Learning,1463444,not,sampled
Correlated Q-Learning,14836942,not,sampled
Correlated Q-Learning,201263433,not,sampled
Correlated Q-Learning,218889300,not,sampled
Correlated Q-Learning,265177212,not,sampled
Correlated Q-Learning,14387613,not,sampled
Correlated Q-Learning,206794869,not,sampled
Correlated Q-Learning,265384166,not,sampled
Correlated Q-Learning,252907284,not,sampled
AlexNet,250607566,not,sampled
