seed,citer_corpusid,arxiv_id,year,title,authors,label,notes
Attention Is All You Need,250607566,2207.07284,2022,Parameterization of Cross-token Relations with Relative Positional Encoding for Vision MLP,"Zhicai Wang, Y. Hao, Xingyu Gao, Hao Zhang, Shuo Wang, Tingting Mu, Xiangnan He",,
Attention Is All You Need,277856775,2504.12817,2025,Explainable Scene Understanding with Qualitative Representations and Graph Neural Networks,"Nassim Belmecheri, Arnaud Gotlieb, Nadjib Lazaar, Helge Spieker",,
Attention Is All You Need,272880737,2409.17106,2024,Text2CAD: Generating Sequential CAD Models from Beginner-to-Expert Level Text Prompts,"Mohammad Sadil Khan, Sankalp Sinha, T. Sheikh, Didier Stricker, Sk Aziz Ali, Muhammad Zeshan Afzal",,
Attention Is All You Need,248056924,,2022,Incorporating rich syntax information in Grammatical Error Correction,"Zuchao Li, Kevin Parnow, Hai Zhao",,
Attention Is All You Need,282850161,,2025,Uncrewed Aerial Vehicle (UAV)-Based High-Throughput Phenotyping of Maize Silage Yield and Nutritive Values Using Multi-Sensory Feature Fusion and Multi-Task Learning with Attention Mechanism,"Jiahao Fan, Jing Zhou, N. Leon, Zhou Zhang",,
Attention Is All You Need,259931492,,2023,An attention-based multiscale transformer network for remote sensing image change detection,"Wei Liu, Yiyuan Lin, Weijia Liu, Yongtao Yu, Jonathan Li",,
Attention Is All You Need,271064389,2407.06538,2024,Enhancing Low-Resource NMT with a Multilingual Encoder and Knowledge Distillation: A Case Study,"Aniruddha Roy, Pretam Ray, Ayush Maheshwari, Sudeshna Sarkar, Pawan Goyal",,
Attention Is All You Need,234820932,,2021,PTANet: Triple Attention Network for point cloud semantic segmentation,"Haozhe Cheng, Jian Lu, M. Luo, Wei Liu, Kaibing Zhang",,
Attention Is All You Need,252782897,,2022,Two-Stream Transformer for Multi-Label Image Classification,"Xueling Zhu, Jiuxin Cao, Jiawei Ge, Weijia Liu, Bo Liu",,
Attention Is All You Need,278193103,,2025,"Advancements in maize leaf disease detection, segmentation and classification: A review","Suresh Timilsina, Sandhya Sharma, Satoshi Kondo",,
Attention Is All You Need,257260254,,2022,Bioacoustic augmentation of Orcas using TransGAN,"Nishant Yella, Manisai Eppakayala, Tauqir Pasha",,
Attention Is All You Need,239009592,2110.08015,2021,Crisis Domain Adaptation Using Sequence-to-sequence Transformers,"Congcong Wang, P. Nulty, David Lillis",,
Attention Is All You Need,231929242,,2021,Chinese Live-streaming Barrage Chatbot Combined with User Vectors,"Yu Shi, Lifang Chen, Yuan Liu",,
Attention Is All You Need,218470275,2005.00206,2020,TransOMCS: From Linguistic Graphs to Commonsense Knowledge,"Hongming Zhang, Daniel Khashabi, Yangqiu Song, Dan Roth",,
Attention Is All You Need,271798081,,2024,BEE-Net: Bridging Semantic and Instance with Gated Encoding and Edge Constraint for Efficient Panoptic Segmentation,"Xinyang Huang, Guanghui Zhang, Dongchen Zhu, Yunpeng Sun, Wenjun Shi, Gang Ye, Yang Xiao, Lei Wang, Xiaolin Zhang, Bo Li, Jiamao Li",,
Playing Atari with Deep Reinforcement Learning,279241741,,,Toward Understanding Latent Model Learning in MuZero: A Case Study in Linear Quadratic Gaussian Control,"Yi Tian, Kaiqing Zhang, Russ Tedrake, S. Sra",,
Playing Atari with Deep Reinforcement Learning,266236087,,2023,Robotic Grasping Based on Deep Learning: A Survey,"M. Rashed, R. N. Farhan, Wesam M. Jasim",,
Playing Atari with Deep Reinforcement Learning,249848024,2206.08883,2022,CtrlFormer: Learning Transferable State Representation for Visual Control via Transformer,"Yao Mu, Shoufa Chen, Mingyu Ding, Jianyu Chen, Runjian Chen, Ping Luo",,
Playing Atari with Deep Reinforcement Learning,259763775,,2023,Bayesian Exploration in Deep Reinforcement Learning,"Ludvig Killingberg, H. Langseth",,
Playing Atari with Deep Reinforcement Learning,252709799,,2022,Semi-supervised Anomaly Detection with Reinforcement Learning,"Chang-Kyu Lee, Joon-Seok Kim, Suk-Ju Kang",,
Playing Atari with Deep Reinforcement Learning,258222331,,2023,A PDDQNLP Algorithm for Energy Efficient Computation Offloading in UAV-Assisted MEC,"Na Lin, Hailun Tang, Liang Zhao, Shaohua Wan, Ammar Hawbani, M. Guizani",,
Playing Atari with Deep Reinforcement Learning,270976865,,2024,SECaaS-Based Partially Observable Defense Model for IIoT Against Advanced Persistent Threats,"Zikai Zhang, Chuntao Ding, Yidong Li, Jinhui Yu, Jingyi Li",,
