citer_corpusid,arxiv_id,year,title,authors,label,notes
254043744,2211.15444,2022,DAMO-YOLO : A Report on Real-Time Object Detection Design,"Xianzhe Xu, Yiqi Jiang, Weihua Chen, Yi-Li Huang, Yuan Zhang, Xiuyu Sun",,
267312132,2401.15282,2024,GEM: Boost Simple Network for Glass Surface Segmentation via Segment Anything Model and Data Synthesis,"Jing Hao, Moyun Liu, Kuo Feng Hung",,
277856775,2504.12817,2025,Explainable Scene Understanding with Qualitative Representations and Graph Neural Networks,"Nassim Belmecheri, Arnaud Gotlieb, Nadjib Lazaar, Helge Spieker",,
278193103,,2025,"Advancements in maize leaf disease detection, segmentation and classification: A review","Suresh Timilsina, Sandhya Sharma, Satoshi Kondo",,
266236087,,2023,Robotic Grasping Based on Deep Learning: A Survey,"M. Rashed, R. N. Farhan, Wesam M. Jasim",,
283847587,,2026,Pixel-scale satellite forecasting of cyanobacteria in Florida lakes.,"M. Beal, B. Schaeffer",,
218470275,2005.00206,2020,TransOMCS: From Linguistic Graphs to Commonsense Knowledge,"Hongming Zhang, Daniel Khashabi, Yangqiu Song, Dan Roth",,
251480548,,2022,FH-YOLOv4 with Constrained Aspect Ratio Loss for Video Face Detection and Public Safety,"Yue Wang, L. Hong, Dewen Gu, P. Fu",,
282419912,,2025,Lightweight and Improved PCBA Welding Defect Detection Algorithm of YOLOv8n,"Zhen Xu, Qingfeng Ma",,
278012917,,2025,Decision support for the identification of testate amoebae in microscopy images to detect peat presence in horticultural substrates,"Serge Zaugg, Camille Vögeli, Lena Märki, C. Duckert, Edward A. D. Mitchell",,
271064389,2407.06538,2024,Enhancing Low-Resource NMT with a Multilingual Encoder and Knowledge Distillation: A Case Study,"Aniruddha Roy, Pretam Ray, Ayush Maheshwari, Sudeshna Sarkar, Pawan Goyal",,
214017872,,2021,AUTOMATIC LUNG CANCER DETECTION USING ARTIFICIAL AUTOMATIC LUNG CANCER DETECTION USING ARTIFICIAL INTELLIGENCE INTELLIGENCE,"Bardh Rushiti, B. Karahoda",,
206794869,,2008,A Comprehensive Survey of Multiagent Reinforcement Learning,"L. Buşoniu, Robert Babuška, B. Schutter",,
92987530,,2017,Diagnostic classification and symbolic guidance to understand and improve recurrent neural networks,Dieuwke Hupkes,,
257260254,,2022,Bioacoustic augmentation of Orcas using TransGAN,"Nishant Yella, Manisai Eppakayala, Tauqir Pasha",,
259931492,,2023,An attention-based multiscale transformer network for remote sensing image change detection,"Wei Liu, Yiyuan Lin, Weijia Liu, Yongtao Yu, Jonathan Li",,
248056924,,2022,Incorporating rich syntax information in Grammatical Error Correction,"Zuchao Li, Kevin Parnow, Hai Zhao",,
272764497,,2024,Online Multi-camera People Tracking with Spatial-temporal Mechanism and Anchor-feature Hierarchical Clustering,"Riu Cherdchusakulchai, Sasin Phimsiri, Visarut Trairattanapa, Suchat Tungjitnob, Wasu Kudisthalert, Pornprom Kiawjak, Ek Thamwiwatthana, Phawat Borisuitsawat, Teepakorn Tosawadi, Pakcheera Choppradit, Kasisdis Mahakijdechachai, Supawit Vatathanavaro, Worawit Saetan, V. Suttichaya",,
203360948,,2019,Learning Long Temporal Sequences in Spiking Networks by Multiplexing Neural Oscillations,"Philippe Vincent-Lamarre, M. Calderini, J. Thivierge",,
234820932,,2021,PTANet: Triple Attention Network for point cloud semantic segmentation,"Haozhe Cheng, Jian Lu, M. Luo, Wei Liu, Kaibing Zhang",,
273821673,2411.02685,2024,Geometry of naturalistic object representations in recurrent neural network models of working memory,"Xiaoxuan Lei, Takuya Ito, P. Bashivan",,
279241741,,,Toward Understanding Latent Model Learning in MuZero: A Case Study in Linear Quadratic Gaussian Control,"Yi Tian, Kaiqing Zhang, Russ Tedrake, S. Sra",,
252782897,,2022,Two-Stream Transformer for Multi-Label Image Classification,"Xueling Zhu, Jiuxin Cao, Jiawei Ge, Weijia Liu, Bo Liu",,
1472007,,2002,On the Convergence of Optimistic Policy Iteration,J. Tsitsiklis,,
225486313,,2020,Adaptive scheduling for assembly job shop with uncertain assembly times based on dual Q-learning,"Haoxiang Wang, B. Sarker, Jing Li, Jian Li",,
247973699,,2021,Learning a library of Physical Interactions for Social Robots Erklärung zur Abschlussarbeit gemäß §22 Abs. 7 und §23 Abs. 7 APB der TU Darmstadt List of,Martina Gassen,,
272880737,2409.17106,2024,Text2CAD: Generating Sequential CAD Models from Beginner-to-Expert Level Text Prompts,"Mohammad Sadil Khan, Sankalp Sinha, T. Sheikh, Didier Stricker, Sk Aziz Ali, Muhammad Zeshan Afzal",,
282850161,,2025,Uncrewed Aerial Vehicle (UAV)-Based High-Throughput Phenotyping of Maize Silage Yield and Nutritive Values Using Multi-Sensory Feature Fusion and Multi-Task Learning with Attention Mechanism,"Jiahao Fan, Jing Zhou, N. Leon, Zhou Zhang",,
250607566,2207.07284,2022,Parameterization of Cross-token Relations with Relative Positional Encoding for Vision MLP,"Zhicai Wang, Y. Hao, Xingyu Gao, Hao Zhang, Shuo Wang, Tingting Mu, Xiangnan He",,
237260132,2108.09159,2021,VAE-CE: Visual Contrastive Explanation using Disentangled VAEs,"Y. Poels, Vlado Menkovski",,
