work_id,label,year,cited_by_count,pool_size,densest_year_count,citers_before_overflow,citers_before_overflow_cap4,citers_before_overflow_cap8,citers_before_overflow_cap12,citers_before_overflow_cap16,citers_before_overflow_cap20,is_worked_example
W2090386790,Hawking Radiation,1975,12959,500,24,217,41,117,217,295,403,1
W2145339207,DQN,2015,30115,500,104,63,11,40,63,80,108,1
W2794643322,QMIX,2018,352,352,74,46,16,26,46,70,95,1
W2626778328,Attention Is All You Need,2025,6583,500,174,45,11,18,45,57,70,1
W2056095744,Photoionization of the Noble Gases: Cross Sections and Angular Distributions,1972,500,500,39,114,41,79,114,165,220,0
W2110479470,Localization of topoisomerase II in mitotic chromosomes.,1985,500,500,40,114,22,67,114,202,246,0
W2056239892,"Subunit structure of islet-activating protein, pertussis toxin, in conformity with the A-B model",1982,500,500,36,118,23,82,118,186,219,0
W2155175889,Inventory of interpersonal problems: Psychometric properties and clinical applications.,1988,1988,500,31,145,35,114,145,204,260,0
W4248581365,Trust as a Social Reality,1985,1995,500,36,103,44,76,103,157,281,0
W2095543708,Three-Dimensional Massive Gauge Theories,1982,1995,500,43,120,23,55,120,149,180,0
W1976982219,Standard methods for the examination of water and waste water.,1966,9613,500,37,103,33,50,103,192,270,0
W2095299437,Agency Theory: An Assessment and Review,1989,9412,500,31,118,30,73,118,167,216,0
W1578285471,Determining optical flow,1981,9955,500,30,160,55,138,160,293,312,0
W2138270253,DNA sequencing with chain-terminating inhibitors,1977,69313,500,49,113,42,83,113,166,190,0
W2752617332,"Theory of the firm: Managerial behavior, agency costs and ownership structure",1976,70886,500,28,187,45,132,187,208,312,0
W2128635872,A Rapid and Sensitive Method for the Quantitation of Microgram Quantities of Protein Utilizing the Principle of Protein-Dye Binding,1976,225381,500,31,167,40,117,167,227,281,0
W2134856017,The construction and testing of the EORTC colorectal cancer-specific quality of life questionnaire module (QLQ-CR38),1999,500,494,40,100,28,64,100,173,213,0
W2029373784,Absorptance of powder materials suitable for laser sintering,2000,500,500,52,104,26,51,104,121,184,0
W1981887226,Determination of minor and trace volatile compounds in wine by solid-phase extraction and gas chromatography with mass spectrometric detection,2002,500,500,32,116,17,70,116,160,285,0
W1669682122,Moving-Particle Semi-Implicit Method for Fragmentation of Incompressible Fluid,1996,1999,500,41,120,31,80,120,189,240,0
W1495750374,Talk of the Network: A Complex Systems Look at the Underlying Process of Word-of-Mouth,2001,1997,500,41,92,28,49,92,152,199,0
W2097119464,Social Value of Public Information,2002,1996,500,36,103,27,46,103,170,243,0
W2078146328,Fully optimized contracted Gaussian basis sets for atoms Li to Kr,1992,9600,500,30,194,50,107,194,263,332,0
W2162542540,Adolescence-limited and life-course-persistent antisocial behavior: A developmental taxonomy.,1993,9878,500,47,118,22,68,118,146,188,0
W2164418313,TCS: a computer program to estimate gene genealogies,2000,9959,500,58,108,19,74,108,122,160,0
W2029667189,VMD: Visual molecular dynamics,1996,66880,500,43,138,45,101,138,195,247,0
