work_id,label,year,cited_by_count,is_worked_example,as_of_year,landmark_max_year,predicted_budget,pool_size,citer_years
W2090386790,Hawking Radiation,1975,12959,1,2026,2024,160,160,2000 1976 1998 2010 1977 1977 1983 1996 2005 1995 1976 1993 2012 1996 2000 2004 2002 1993 2011 2006 1981 1975 2002 1976 2016 2013 1999 2006 1985 1981 1991 1976 2001 2013 1981 1993 2010 2005 1987 1993 1992 1976 1993 1993 2013 2020 2009 2001 2002 1990 2008 2007 2005 2002 2010 2005 2015 2009 2017 1999 1999 1982 2004 2015 1998 2004 2009 1979 2005 2001 2016 2004 1996 2020 1991 2001 2008 2021 1976 1977 2023 2004 1983 1994 2013 1995 2000 1998 1976 2005 2016 2011 2009 2020 2020 1980 2010 1995 1977 1976 2011 2004 1979 2018 2004 1982 2005 1986 1992 2000 1996 2011 1996 2017 1992 2015 1988 1976 1985 2011 2002 2002 1987 2012 1984 1994 2007 1985 2012 2015 1999 2006 1990 2005 2002 2021 2016 1976 1978 1975 1995 2019 2013 2003 2005 2017 2003 1982 1977 2005 1984 2004 2000 1993 1990 1995 2005 1999 2002 2007
W2145339207,DQN,2015,30115,1,2026,2024,60,60,2015 2016 2017 2017 2015 2017 2016 2021 2017 2016 2016 2016 2015 2017 2015 2018 2016 2018 2020 2019 2017 2015 2017 2019 2015 2018 2019 2018 2016 2019 2018 2015 2019 2018 2018 2018 2017 2015 2016 2019 2018 2020 2019 2020 2016 2018 2015 2019 2017 2017 2021 2020 2018 2017 2020 2016 2019 2016 2019 2021
W2794643322,QMIX,2018,352,1,2026,2024,41,41,2021 2019 2023 2022 2021 2020 2020 2020 2023 2021 2020 2019 2024 2021 2022 2022 2020 2020 2020 2019 2020 2022 2021 2019 2022 2019 2020 2021 2021 2022 2024 2021 2018 2024 2021 2022 2023 2020 2022 2019 2020
W2626778328,Attention Is All You Need,2025,6583,1,2026,2024,30,30,2021 2020 2019 2020 2019 2019 2019 2021 2018 2022 2022 2019 2019 2020 2019 2021 2022 2019 2019 2020 2021 2019 2021 2021 2020 2021 2018 2017 2018 2018
W2056095744,Photoionization of the Noble Gases: Cross Sections and Angular Distributions,1972,500,0,2026,2024,160,160,1987 1980 1973 2011 2012 1976 1992 1979 1981 1976 2012 1986 1975 1980 2012 2006 1993 1974 1979 1989 1992 1974 1975 1979 1982 1974 1989 1976 1974 1973 1980 1977 1978 1988 1975 1983 1978 1983 1989 1982 2012 1974 1977 1992 1978 1995 1975 1987 1981 1972 1972 1974 1976 1979 1977 1978 2015 1976 1973 2014 1985 1975 1975 1978 1973 1976 1976 1993 1981 1974 2012 1973 1976 1980 1979 1999 1977 1984 1972 1976 1972 1974 1973 1978 2003 1983 1977 1973 1982 1974 1976 1984 2014 1984 2016 1973 1976 2014 1977 1973 2009 1978 1985 1982 1974 1986 1974 1977 1978 2009 1974 1993 1976 2011 1976 1986 1981 1973 2006 1974 1999 1976 1974 1972 1975 1983 1975 1974 1989 2000 1980 2004 1983 1981 1973 1977 1993 1978 1978 1972 1981 2007 1991 1988 1978 1977 1983 1985 1981 1976 1978 1978 1988 1977 1973 1979 2022 1993 1976 1974
W2110479470,Localization of topoisomerase II in mitotic chromosomes.,1985,500,0,2026,2024,126,126,1986 2018 1985 1991 1987 1987 1986 1991 1986 1988 1994 1987 1989 1987 1989 1988 1991 1994 1991 2000 1992 1990 1987 1997 1999 1998 1996 1989 1992 1986 1986 1997 2003 1992 1986 2003 1987 1990 1994 1992 1989 1992 2003 1990 1994 1989 1988 1997 1991 1988 1993 1987 1986 1985 1994 1988 2004 1986 1990 2002 1991 1989 2003 2012 1985 1987 1998 1986 2001 1990 1989 2002 1995 1995 1991 1993 2012 2012 1990 1988 1994 1999 2020 1990 1988 1991 1989 2001 1997 1986 1993 1991 1987 1988 1988 1989 1990 1996 1987 1993 1998 1988 2002 1989 1986 1996 2008 1999 1992 1986 1989 2000 2017 1993 1986 2009 1987 1987 2002 1992 1989 1989 2021 2006 1995 2001
W2056239892,"Subunit structure of islet-activating protein, pertussis toxin, in conformity with the A-B model",1982,500,0,2026,2024,134,134,2005 2004 1992 1984 1985 1983 1983 1984 1986 1994 1986 1984 1989 2000 1993 1985 1988 1983 1987 1985 1985 2007 1983 1985 2014 1983 1983 2011 2011 1985 2002 1995 1995 1983 2006 1985 1984 1989 1985 1984 1988 1988 1984 1988 1996 2001 1987 1993 1992 2003 1995 1988 1999 1990 1995 1984 2014 1987 2008 1989 1987 1987 1999 2002 1991 1992 1993 2015 1988 2001 1986 1989 2012 1987 2001 1995 2002 1988 2012 1993 1996 1988 1988 2004 1986 1986 1988 1994 2006 2016 1989 1988 2004 2003 1989 1996 1993 1987 1985 1996 1991 1988 1987 1991 1983 1987 1989 1985 2000 1992 1995 1995 1984 1992 1991 1991 2009 1994 1988 1985 1986 2021 1987 2014 1996 1987 2004 1990 1989 1995 1987 1985 1989 2008
W2155175889,Inventory of interpersonal problems: Psychometric properties and clinical applications.,1988,1988,0,2026,2024,122,122,1991 2010 1994 2009 1999 2003 2015 2017 1998 2009 2012 2012 1990 2002 2001 2002 2001 2011 2000 2009 1996 2010 2005 2002 2001 2000 2003 2002 1990 1994 2003 2001 2005 2006 2000 2002 2020 1996 2000 2005 2001 2005 1995 2004 2009 2015 2010 2004 2003 2012 1993 1992 2000 2014 1993 1999 2014 1994 2015 1995 2000 1994 2002 2008 1999 1999 1995 1997 2004 1995 1997 1994 2018 2009 2000 2012 2002 2004 2007 2009 2004 1992 1999 2008 2012 2005 1989 1994 1994 1991 2003 2001 1998 2004 2003 2011 2002 1995 2008 2003 1991 2007 1998 1993 2003 2004 2000 2006 2015 2008 1998 2004 2016 1998 2000 1997 2003 2009 1997 2006 2002 1997
W4248581365,Trust as a Social Reality,1985,1995,0,2026,2024,130,130,2003 2002 1998 1999 1999 2007 2004 2017 2003 1995 2018 2006 2000 2000 1998 1997 2008 1996 2010 2009 2014 2009 1999 2007 2020 2001 2006 2005 2002 2019 2006 2010 1992 2007 2003 2003 2008 2004 2015 2022 1994 2004 2001 1998 2003 2020 2009 2001 2004 2003 2003 2004 2010 2012 2003 2021 2007 2004 2018 2014 2008 2004 2002 2014 2017 2020 2013 2005 2017 2020 2001 2010 2004 2005 2007 2012 2004 2009 1998 2004 2010 2009 2009 2008 2004 2003 2001 2021 2021 2018 2019 2011 2004 2017 2005 2003 2013 2011 2014 2015 2020 2003 2014 2004 2021 2016 2010 2006 2004 2005 2015 2005 2004 2016 2021 2022 2007 2007 2019 2004 2005 2013 2009 2018 2011 2008 2016 2020 2010 2017
W2095543708,Three-Dimensional Massive Gauge Theories,1982,1995,0,2026,2024,138,138,2008 1989 1982 2009 1983 2009 1988 1984 2009 1986 1984 1984 1986 1990 1984 1992 1985 2014 1985 2000 2009 1991 1983 1984 2003 2009 1983 1984 1992 2008 1990 2007 1991 2000 1995 1992 1988 2008 1990 2008 1986 1990 2012 1984 1985 1991 2009 1985 2002 2013 2009 1984 1989 1985 2001 1984 1996 1985 2014 1993 1990 1989 2010 1985 2012 2008 2009 1989 1990 2006 2008 1990 1991 2012 1988 2005 2011 2010 2008 1985 1997 1984 1991 1985 1986 1994 1985 2012 2007 2010 2015 1989 2010 2008 2010 2009 2011 2009 2003 2009 2000 2016 1990 1983 2009 1992 1985 2012 2008 1990 2007 1996 2008 1990 2006 1990 1989 1986 1990 1985 1985 1991 1989 2003 1983 1991 2011 2017 1996 1993 2003 1984 2009 2008 1996 1993 1986 2009
W1976982219,Standard methods for the examination of water and waste water.,1966,9613,0,2026,2024,182,182,1996 2013 1989 1995 1985 1996 2012 2006 1982 2007 2011 2003 2006 1987 1995 2004 2005 2007 1970 2009 2014 2014 2010 2016 2011 2007 2004 1998 1991 2006 2014 2007 2015 2007 2006 2012 2016 2011 1994 2010 2011 2002 2007 1994 2014 2011 2017 2007 2007 2004 2007 1991 2010 2013 2019 2020 2009 2001 2009 2010 2003 2005 2007 1998 2008 2016 1994 2010 2012 2002 2008 1999 1998 2013 2007 1995 1972 1995 2011 2004 2012 2015 2017 2009 2004 2009 2012 2018 2001 2012 2014 2008 2002 2010 2007 2010 2009 2010 2018 2003 2010 2018 2005 2007 2009 2011 2010 1984 2005 2009 2007 2018 2006 2011 1995 1999 2008 2002 1998 2008 2016 2015 1991 2006 2021 2015 2015 2009 2008 1999 2008 2011 2015 1972 2011 2011 2018 2010 2005 2016 2003 2018 2002 2015 2017 2011 2019 2015 2004 1994 2016 2002 2003 2011 2004 2012 2017 2003 2009 2004 2008 2008 2009 1975 2004 2016 2017 1985 2004 2005 2017 2009 2008 2006 2015 2007 2014 1991 2009 2010 2016 2013
W2095299437,Agency Theory: An Assessment and Review,1989,9412,0,2026,2024,123,123,2007 1991 1992 2007 1995 2003 1998 2000 2007 2007 1999 1992 2020 2001 1998 2010 2010 1999 2006 2000 2019 2018 2014 2000 1999 1996 1999 1998 2003 2009 1999 1994 2001 1991 2006 1999 2007 2019 2007 2009 2014 2004 2011 2011 2016 1998 1996 2007 2009 2013 1991 2005 2009 2000 2010 1990 1991 2005 1995 1996 2006 2007 2002 2000 2002 2020 1996 2006 2019 1998 2000 2003 2006 2007 1996 2009 2006 1988 1994 2010 1994 2006 1992 2000 1995 1996 2014 1998 2007 2011 2014 2006 2004 2017 2004 2007 1998 2006 2012 2008 1992 2019 1994 1999 2006 2004 1993 1998 2006 2003 2010 2011 2000 2008 2007 2010 2010 2006 2007 2000 2003 2010 1991
W1578285471,Determining optical flow,1981,9955,0,2026,2024,144,144,2001 2006 1994 2015 1998 2011 2018 2004 2001 1995 1998 2009 2010 2019 2003 2007 2016 2000 2007 2006 2010 1985 2002 2017 2010 2019 2010 2012 1993 2008 2019 1992 1999 2003 2004 2019 1990 1989 2002 1990 2002 1985 2009 2003 2006 2018 1985 1993 2017 1987 2006 2018 1988 2001 1984 2019 2018 1986 2007 2015 1996 2002 1988 2013 2008 1989 2012 2015 2018 2008 2022 2018 1994 2017 1981 2017 2017 1988 2022 2013 2020 2006 2017 2012 2008 2009 2004 2014 2017 1987 1993 1985 2016 1991 2015 2008 2013 1988 1997 2003 2012 2015 2018 2002 2003 2013 2011 2016 2021 2010 1990 2019 2017 1991 2008 1992 2002 1993 2018 2003 2002 1989 2015 2006 1990 1987 2000 1983 2021 1983 2015 2009 2002 2000 2006 1995 2016 2013 2002 2018 2019 2016 2019 1991
W2138270253,DNA sequencing with chain-terminating inhibitors,1977,69313,0,2026,2024,159,159,1988 1985 2001 1994 1993 1988 1981 1993 2005 1989 1998 2019 1982 2013 1989 1987 1988 1984 2008 1985 1989 1987 1985 1990 1993 1991 1992 2003 1996 1985 1992 1991 1982 1993 1991 1984 1989 1981 1990 1990 1992 1983 1989 1985 1989 1986 1983 1987 1987 1993 1989 1978 1987 1985 1987 1995 1985 1989 1992 2011 1986 1985 1982 1978 2007 1990 1990 1996 1993 1984 2008 1986 2019 1987 1993 1992 1991 1986 2014 1990 1996 2007 2007 1985 1995 1997 1991 1991 2011 1984 1986 2002 1991 1985 1991 1990 2014 1992 1987 1988 1998 1991 1991 1987 1988 1994 1985 2000 1989 1990 1988 1985 1986 1985 2000 1991 1992 1991 1988 1996 1991 1991 1985 1993 1986 2018 1992 1987 1983 1985 1992 1984 1993 1986 1995 1990 1990 1989 2009 1988 1991 1992 1992 1994 2015 1992 1994 1992 1986 2000 1990 1994 1987 1991 1986 1987 1989 1989 1988
W2752617332,"Theory of the firm: Managerial behavior, agency costs and ownership structure",1976,70886,0,2026,2024,162,162,1984 1983 1998 1997 1996 1995 1977 1999 1980 1997 1989 1995 1993 1984 2001 1991 1988 1984 1997 1995 1985 1981 2000 2010 2001 1988 2000 2002 1990 1988 1983 2002 1977 1977 2010 2004 2002 2005 1991 1999 2005 1990 2005 1997 2002 2002 2008 2014 1999 1997 1991 2002 1994 1992 1985 1998 1995 2008 2007 2008 1995 1996 2003 2008 1984 1984 1993 1979 1999 2005 2014 1996 2009 1977 1996 1992 1994 1981 2010 2005 1998 1992 2000 2011 2005 2009 2000 1992 2010 1990 1978 2004 2007 1999 2010 1988 1999 1998 2000 2004 2001 1992 1991 1985 1993 2001 2001 1990 1997 1988 2010 2003 1998 1995 2001 2010 2001 1989 1981 1995 1999 1999 2009 1998 1995 2006 2001 2005 1996 2010 1996 2008 1999 1985 2012 2014 2003 1984 2002 1984 1996 2001 1998 2014 2000 1991 2000 2007 2010 2008 2015 2010 1999 2000 1985 2007 1999 1988 2004 1998 2002 1987
W2128635872,A Rapid and Sensitive Method for the Quantitation of Microgram Quantities of Protein Utilizing the Principle of Protein-Dye Binding,1976,225381,0,2026,2024,165,165,1987 1990 2013 1989 2000 1992 2006 1991 2009 1989 1995 1987 1996 1994 1997 1984 1996 1988 2006 2006 1987 1992 2001 1993 1991 1995 1986 1998 2002 1995 2006 1991 2015 2009 2002 1992 1993 1987 2003 1993 1987 1978 1999 1986 2007 2005 1990 1993 1983 1998 2000 1995 1990 1982 1981 2001 1992 2008 2009 1993 1993 2004 1991 1992 1989 1995 2007 1996 1991 2001 1986 2001 2005 1998 1990 1998 1983 1992 2003 1996 2002 1992 2007 2002 1988 1998 1999 1989 2004 2003 1985 1999 1991 1997 1985 1984 1993 1996 1991 2007 2000 1989 1992 2000 1995 1996 2012 1993 1991 2002 1998 1994 1979 1986 1996 1985 2002 1993 1986 1993 2008 1999 1997 1995 1991 2000 1993 1996 1981 2015 2006 1996 1994 2009 1998 1989 1992 1989 1994 2012 2001 1992 1986 1994 1991 1991 1998 1991 2013 2000 1992 2001 1988 1993 2003 1995 1996 1995 1987 2007 2010 1992 1989 2015 2004
W2134856017,The construction and testing of the EORTC colorectal cancer-specific quality of life questionnaire module (QLQ-CR38),1999,500,0,2026,2024,90,90,2007 2009 2010 2002 2014 2012 2005 2011 2009 2003 2015 2014 2005 2005 2017 2001 2010 2005 2017 2004 2004 2007 2016 2018 2013 2010 2007 2007 2005 2004 2011 2001 2008 2001 2005 2006 2011 2001 2005 2019 2011 2001 2011 2016 2000 2006 2015 2002 2006 2023 2002 2010 2015 2001 2012 2006 2005 2011 2008 2004 2015 2014 2008 2003 2005 2006 2021 2007 2009 2007 2013 2012 2005 2012 2010 2007 2000 2012 2009 2013 2015 2015 2008 2014 2007 2014 2016 2005 2002 2012
W2029373784,Absorptance of powder materials suitable for laser sintering,2000,500,0,2026,2024,88,88,2017 2012 2015 2014 2015 2007 2015 2011 2010 2003 2016 2016 2005 2014 2017 2013 2020 2020 2016 2017 2022 2022 2010 2017 2008 2015 2017 2006 2003 2016 2011 2020 2016 2017 2015 2014 2010 2016 2011 2019 2003 2018 2016 2019 2016 2022 2010 2018 2021 2014 2005 2016 2021 2020 2010 2014 2016 2019 2003 2021 2021 2016 2021 2015 2015 2017 2016 2017 2017 2018 2017 2019 2019 2018 2021 2013 2014 2009 2021 2022 2022 2023 2020 2019 2020 2010 2014 2018
W1981887226,Determination of minor and trace volatile compounds in wine by solid-phase extraction and gas chromatography with mass spectrometric detection,2002,500,0,2026,2024,83,83,2003 2007 2004 2007 2004 2006 2005 2013 2007 2005 2005 2003 2007 2019 2014 2013 2006 2007 2011 2010 2010 2014 2005 2006 2014 2003 2011 2005 2005 2006 2011 2020 2010 2009 2005 2010 2014 2012 2010 2008 2008 2007 2003 2016 2008 2006 2012 2003 2011 2008 2022 2015 2009 2012 2013 2014 2010 2009 2005 2011 2009 2009 2020 2008 2021 2014 2010 2004 2012 2012 2005 2011 2015 2011 2011 2014 2011 2007 2004 2012 2017 2018 2007
W1669682122,Moving-Particle Semi-Implicit Method for Fragmentation of Incompressible Fluid,1996,1999,0,2026,2024,102,102,2003 1998 2009 2004 2004 2017 2011 2019 2017 2009 2014 2010 2018 2018 2008 2021 2014 2007 2010 2006 2010 2010 2021 2017 2019 2017 2009 2013 2013 2013 2012 2010 2009 2005 2007 2020 2014 2005 2016 2001 2014 2013 2015 2012 2009 2016 2005 2001 2003 2018 2018 2020 2006 2016 2022 2004 2012 2016 2018 1999 2021 2008 2011 2019 2018 2011 2015 2021 2018 2006 2017 2015 2012 2017 2017 2017 2021 2014 2011 2016 2017 2018 2005 2018 2001 2007 2005 2023 2007 2017 2018 2022 2006 2020 2021 2018 2005 2005 2023 2017 2020 2011
W1495750374,Talk of the Network: A Complex Systems Look at the Underlying Process of Word-of-Mouth,2001,1997,0,2026,2024,89,89,2003 2007 2007 2007 2008 2016 2010 2016 2004 2010 2010 2005 2004 2016 2009 2013 2011 2015 2014 2011 2018 2011 2008 2012 2007 2010 2015 2011 2007 2004 2011 2013 2016 2003 2011 2023 2006 2008 2007 2006 2010 2011 2013 2014 2018 2001 2011 2014 2016 2011 2008 2017 2008 2014 2006 2018 2012 2012 2014 2020 2010 2002 2013 2008 2013 2014 2015 2017 2010 2007 2019 2010 2019 2014 2014 2010 2009 2008 2010 2012 2004 2014 2011 2012 2016 2010 2013 2006 2017
W2097119464,Social Value of Public Information,2002,1996,0,2026,2024,86,86,2010 2008 2011 2009 2010 2012 2018 2008 2005 2020 2014 2006 2008 2018 2006 2009 2006 2017 2017 2013 2007 2006 2008 2010 2018 2015 2018 2008 2011 2006 2007 2013 2004 2016 2009 2015 2006 2007 2010 2006 2019 2015 2017 2009 2006 2018 2006 2009 2015 2011 2008 2006 2008 2016 2005 2013 2015 2007 2012 2011 2005 2015 2010 2018 2006 2004 2014 2008 2002 2005 2020 2017 2007 2006 2015 2009 2013 2014 2010 2014 2016 2005 2008 2008 2015 2010
W2078146328,Fully optimized contracted Gaussian basis sets for atoms Li to Kr,1992,9600,0,2026,2024,116,116,2005 1994 2006 1998 1996 2001 2008 1998 1995 1996 2002 2001 1998 2010 2002 2020 2003 2021 2011 2002 2013 2003 2016 2020 2009 2012 1997 2021 1994 2011 2008 2003 1998 2015 2011 2007 1996 1999 2012 2005 1997 2009 2004 2021 2008 2007 2004 1999 2000 1993 1998 2009 2001 2006 2006 2000 2009 1995 1997 2002 2002 2002 2016 2007 2004 2006 2001 2011 2013 1995 2010 2008 2007 2019 1998 2012 2001 2006 2000 2003 2006 2010 2016 2016 2007 2003 2016 2021 2020 2014 2020 2012 1996 2018 2006 2008 2012 2016 2006 2013 2003 2012 2001 2015 2023 2007 1997 2006 2007 2006 2016 2016 2006 2009 2003 1996
W2162542540,Adolescence-limited and life-course-persistent antisocial behavior: A developmental taxonomy.,1993,9878,0,2026,2024,113,113,2000 2001 2017 2001 1996 2000 2004 1995 2010 2007 2001 2001 1999 2013 2012 2003 2006 2013 1995 2005 2009 2013 2001 2001 2009 1998 1996 1999 2009 2003 2001 2010 2010 2002 2003 1999 2006 1997 2000 2000 2003 2002 2008 1998 2002 2003 2000 1998 2009 2008 2007 2000 2008 2003 2005 2002 2003 1995 2015 2005 2002 2002 1993 1996 1995 1997 2003 1995 2003 2004 2011 2007 2001 2003 2006 2011 2004 2006 2001 2015 2008 2000 2010 2006 2002 1997 2005 2006 2002 1995 2014 2005 1996 1996 2001 2004 2005 2006 2000 2007 2006 2003 2010 2006 2015 2009 2003 1995 1997 2001 2010 1998 1994
